wave number,modifier,rank,enemy type 1,enemy quantity 1,enemy type 2,enemy quantity 2,enemy type 3, enemy quantity 3
1,,1,tiny,2,,,,
2,,1,tiny,4,,,,
3,,1,small,2,,,,
4,,1,tiny flying,2,,,,
5,,1,tiny flying,2,,,,
6,,1,tiny,5,,,,
7,,1,small flying,1,,,,
8,fast,1,small,2,,,,
9,,1,big,1,,,,
10,ice shield,1,tiny flying,2,,,,
11,,1,small,4,,,,
12,,1,medium,2,,,,
13,,1,small flying,2,,,,
14,,1,medium,2,tiny,6,,
15,,1,big,2,,,,
16,,1,tiny,10,,,,
17,ice shield,1,small,4,,,,
18,,1,small flying,4,,,,
19,,1,medium flying,1,tiny flying,4,,
20,regeneration,1,big,2,,,,
21,,1,medium,4,,,,
22,,1,tiny,12,,,,
23,,1,tiny flying,10,,,,
24,,1,small,6,,,,
25,,1,big flying,2,,,,
26,,1,big,2,small,6,,
27,fast,1,tiny,8,,,,
28,,1,small flying,6,,,,
29,,1,big flying,1,medium flying,2,,
30,fire shield,1,medium,3,,,,
31,,2,tiny,8,,,,
32,,2,small,4,,,,
33,,2,medium,2,tiny,6,,
34,,2,tiny flying,8,,,,
35,,2,small flying,6,,,,
36,,2,big,3,,,,
37,,2,medium flying,3,,,,
38,ice shield,2,small,3,tiny,6,,
39,,2,big,1,medium flying,3,small,6
40,,2,small flying,3,tiny flying,6,,
41,,2,tiny,12,,,,
42,,2,small,10,,,,
43,fast,2,medium,3,tiny,6,,
44,,2,big flying,3,,,,
45,regeneration,2,medium flying,5,,,,
46,,2,big,5,,,,
47,,2,small,6,tiny,12,,
48,,2,tiny flying,12,,,,
49,,2,small flying,10,,,,
50,ice shield,2,big,1,medium,2,small,4
51,,3,tiny,8,,,,
52,,3,tiny flying,8,,,,
53,,3,small,4,,,,
54,,3,medium,3,tiny,6,,
55,,3,small flying,5,,,,
56,fire shield,3,medium flying,1,,,,
57,,3,big,2,,,,
58,,3,big,1,small,4,,
59,fast,3,tiny,4,,,,
60,,3,big flying,2,,,,
61,,3,medium,4,,,,
62,,3,small flying,8,,,,
63,,3,small,6,tiny,10,,
64,,3,big,2,,,,
65,,3,small flying,8,,,,
66,,3,medium flying,3,tiny flying,10,,
67,ice shield,3,medium,4,,,,
68,,3,medium,6,tiny,12,,
69,,3,big flying,2,small flying,8,,
70,,3,big,3,medium flying,6,small,9
